ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
9412,Matthias Behr,M,21.0,194.0,87.0,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's Foil, Team",Gold
9419,Holger Behrendt,M,24.0,161.0,60.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Rings,Gold
9420,Jan Behrendt,M,24.0,169.0,70.0,Germany-1,GER,1992 Winter,1992,Winter,Albertville,Luge,Luge Mixed (Men)'s Doubles,Gold
9420,Jan Behrendt,M,30.0,169.0,70.0,Germany-1,GER,1998 Winter,1998,Winter,Nagano,Luge,Luge Mixed (Men)'s Doubles,Gold
9421,Jutta Behrendt (Hampe-),F,27.0,181.0,75.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Single Sculls,Gold
9424,Wolfgang Behrendt,M,20.0,,,Germany,GER,1956 Summer,1956,Summer,Melbourne,Boxing,Boxing Men's Bantamweight,Gold
9434,Melanie Behringer,F,30.0,172.0,71.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Gold
9449,"Anthonie Christiaan ""Teun"" Beijnen",M,24.0,,,Netherlands,NED,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxless Pairs,Gold
9464,Ruth Beita Vila,F,37.0,191.0,72.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's High Jump,Gold
9479,Sofia Bekatorou (-Kosmatopoulos),F,26.0,172.0,62.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Sailing,Sailing Women's Two Person Dinghy,Gold
9487,Kenenisa Bekele Beyecha,M,22.0,165.0,56.0,Ethiopia,ETH,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 10,000 metres",Gold
9487,Kenenisa Bekele Beyecha,M,26.0,165.0,56.0,Ethiopia,ETH,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 5,000 metres",Gold
9487,Kenenisa Bekele Beyecha,M,26.0,165.0,56.0,Ethiopia,ETH,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 10,000 metres",Gold
